month,stop_id,stop_name,boardings,alightings
2023-11,1084,Lovell & S. Burdick,3,28
2023-12,1,Rose at Water (NW Corner),3000,2651
2023-12,2,Rose at Michigan (SW side),224,101
2023-12,3,Rose at South (SW Corner),158,185
2023-12,4,Lovell at St. Johns (NE Corner),10,11
2023-12,5,Westnedge at Lovell (SW side),214,107
2023-12,6,Westnedge at Walnut (NW corner),117,109
2023-12,7,Westnedge at Vine (NW Corner),686,614
2023-12,51,Park at W. Vine (SE Corner),447,482
2023-12,52,Park at 519 Walnut,128,209
2023-12,53,Park at Lovell (SE Corner),22,131
2023-12,54,Park at South (NE Corner),38,370
2023-12,96,Portage at Walnut (SE Corner),64,151
2023-12,137,Kalamazoo & Park Street,75,39
2023-12,182,Michigan &,41,205
2023-12,184,Rose & Water,50,453
2023-12,210,Burdick & North,12,30
2023-12,260,North & N. Park,38,150
2023-12,261,North & Westnedge,55,124
2023-12,262,North & Simpson,17,94
2023-12,263,North & Woodward,15,69
2023-12,264,North St & Hawley street,37,219
2023-12,295,North & Stewart/Hawley,143,18
2023-12,296,North & Woodward,41,25
2023-12,297,North & Simpson,40,18
2023-12,298,North & Westnedge,73,79
2023-12,299,Ransom & Church,74,165
2023-12,300,Ransom & N. Rose,2,10
2023-12,515,Rose & Vine,15,17
2023-12,516,Rose & Walnut,4,5
2023-12,517,Rose & South,56,161
2023-12,518,Walnut & Burdick,247,464
2023-12,562,Walnut & Burdick,452,146
2023-12,563,Kalamazoo & Greenwich,21,9
2023-12,564,Kalamazoo & Elm,51,67
2023-12,565,Kalamazoo & Stuart,46,54
2023-12,605,W. Main & Catherine,30,51
2023-12,606,W. Main & RR Tracks,45,151
2023-12,607,North & Park,9,25
2023-12,628,Lovell & Westnedge,150,127
2023-12,629,Lovell & Oak,54,145
2023-12,630,Lovell & Davis,36,66
2023-12,640,South & Oak,222,105
2023-12,641,South & Westnedge,9,48
2023-12,776,Portage at South (NW Corner),24,12
